Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Resistance in Ohms @ 25°C","Resistance Tolerance","B Value Tolerance","B0/50","B25/50","B25/75","B25/85","B25/100","Operating Temperature","Power - Max","Length - Lead Wire","Mounting Type","Package / Case"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=82,//media.digikey.com/Renders/Amphenol%20Renders/NHQ1206.jpg,235-1114-2-ND,NHQ504B435T10,Amphenol Advanced Sensors,THERM NTC 500KOHM 4350K 1206,0,0,"1.18030","0","3000","Tape & Reel (TR)","NHQ","Active","500k","±10%","±5%","-","-","-","4350K","-","-40°C ~ 125°C","-","-","Surface Mount","1206 (3216 Metric)"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=82,//media.digikey.com/Renders/Amphenol%20Renders/NHQ1206.jpg,235-1114-1-ND,NHQ504B435T10,Amphenol Advanced Sensors,THERM NTC 500KOHM 4350K 1206,0,0,"Discontinued at Digi-Key","0","1","Cut Tape (CT)","NHQ","Discontinued at Digi-Key","500k","±10%","±5%","-","-","-","4350K","-","-40°C ~ 125°C","-","-","Surface Mount","1206 (3216 Metric)"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=82,//media.digikey.com/Renders/Amphenol%20Renders/NHQ1206.jpg,235-1114-6-ND,NHQ504B435T10,Amphenol Advanced Sensors,THERM NTC 500KOHM 4350K 1206,0,0,"Digi-Reel","0","1","Digi-Reel®","NHQ","Discontinued at Digi-Key","500k","±10%","±5%","-","-","-","4350K","-","-40°C ~ 125°C","-","-","Surface Mount","1206 (3216 Metric)"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=82,//media.digikey.com/Renders/Amphenol%20Renders/NHQ1206.jpg,NHQ252B410T10-ND,NHQ252B410T10,Amphenol Advanced Sensors,THERM NTC 2.5KOHM 4100K 1206,0,0,"1.18030","0","3000","Tape & Reel (TR)","NHQ","Active","2.5k","±10%","±5%","-","-","-","4100K","-","-40°C ~ 125°C","-","-","Surface Mount","1206 (3216 Metric)"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=82,//media.digikey.com/Renders/Amphenol%20Renders/NHQ1206.jpg,NHQ203B400T10-ND,NHQ203B400T10,Amphenol Advanced Sensors,THERMISTOR NTC 20KOHM 4000K 1206,0,0,"1.18030","0","3000","Tape & Reel (TR)","NHQ","Active","20k","±10%","±5%","-","-","-","4000K","-","-40°C ~ 125°C","-","-","Surface Mount","1206 (3216 Metric)"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=82,//media.digikey.com/Renders/Amphenol%20Renders/NHQ1206.jpg,NHQ303B400T10-ND,NHQ303B400T10,Amphenol Advanced Sensors,THERMISTOR NTC 30KOHM 4000K 1206,0,0,"1.18030","0","3000","Tape & Reel (TR)","NHQ","Active","30k","±10%","±5%","-","-","-","4000K","-","-40°C ~ 125°C","-","-","Surface Mount","1206 (3216 Metric)"
https://www.cantherm.com/wp-content/uploads/2017/05/CWF_11x17_OCT_2014_1.pdf,-,317-1316-ND,CWF1B103J3380,Cantherm,THERMISTOR NTC 10KOHM 3380K BEAD,0,0,"1.18463","0","400","Bulk","CWF1","Active","10k","±5%","±2%","-","3380K","-","-","-","-55°C ~ 125°C","-","3.28' (1.00m)","Free Hanging","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA501C2R10C-ND,NKA501C2R10C,Amphenol Advanced Sensors,THERMISTOR NTC 500OHM 3540K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","500","±10%","±1%","-","-","-","3540K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA501C2AR10C-ND,NKA501C2AR10C,Amphenol Advanced Sensors,THERMISTOR NTC 500OHM 3627K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","500","±10%","±1%","-","-","-","3627K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA501C7R10C-ND,NKA501C7R10C,Amphenol Advanced Sensors,THERMISTOR NTC 500OHM 3977K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","500","±10%","±1%","-","-","-","3977K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA102C2R10C-ND,NKA102C2R10C,Amphenol Advanced Sensors,THERMISTOR NTC 1KOHM 3540K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","1k","±10%","±1%","-","-","-","3540K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA102C2AR10C-ND,NKA102C2AR10C,Amphenol Advanced Sensors,THERMISTOR NTC 1KOHM 3627K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","1k","±10%","±1%","-","-","-","3627K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA102C7R10C-ND,NKA102C7R10C,Amphenol Advanced Sensors,THERMISTOR NTC 500OHM 3977K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","500","±10%","±1%","-","-","-","3977K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA202C2R10C-ND,NKA202C2R10C,Amphenol Advanced Sensors,THERMISTOR NTC 2KOHM 3540K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","2k","±10%","±1%","-","-","-","3540K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA202C2AR10C-ND,NKA202C2AR10C,Amphenol Advanced Sensors,THERMISTOR NTC 2KOHM 3627K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","2k","±10%","±1%","-","-","-","3627K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA202C7R10C-ND,NKA202C7R10C,Amphenol Advanced Sensors,THERMISTOR NTC 2KOHM 3977K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","2k","±10%","±1%","-","-","-","3977K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA272C1R10C-ND,NKA272C1R10C,Amphenol Advanced Sensors,THERM NTC 2.7KOHM 3977K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","2.7k","±10%","±0.75%","-","-","-","3977K","-","-40°C ~ 190°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA502C4AR10C-ND,NKA502C4AR10C,Amphenol Advanced Sensors,THERMISTOR NTC 5KOHM 3435K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","5k","±10%","±1%","-","-","-","3435K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA502C1R10C-ND,NKA502C1R10C,Amphenol Advanced Sensors,THERMISTOR NTC 5KOHM 3977K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","5k","±10%","±0.75%","-","-","-","3977K","-","-40°C ~ 190°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA103C4AR10C-ND,NKA103C4AR10C,Amphenol Advanced Sensors,THERMISTOR NTC 10KOHM 3435K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","10k","±10%","±1%","-","-","-","3435K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA103C5R10C-ND,NKA103C5R10C,Amphenol Advanced Sensors,THERMISTOR NTC 10KOHM 3740K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","10k","±10%","±1%","-","-","-","3740K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA103C1R10C-ND,NKA103C1R10C,Amphenol Advanced Sensors,THERMISTOR NTC 10KOHM 3977K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","10k","±10%","±0.75%","-","-","-","3977K","-","-40°C ~ 190°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA123C5R10C-ND,NKA123C5R10C,Amphenol Advanced Sensors,THERMISTOR NTC 12KOHM 3740K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","12k","±10%","±1%","-","-","-","3740K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA303C8R10C-ND,NKA303C8R10C,Amphenol Advanced Sensors,THERMISTOR NTC 30KOHM 3977K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","30k","±10%","±1%","-","-","-","3977K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.amphenol-sensors.com/index.php?option=com_edocman&task=document.download&id=314,"//media.digikey.com/Photos/Amphenol%20Photos/MFG_NKA-Series,-CR1.jpg",NKA503C8R10C-ND,NKA503C8R10C,Amphenol Advanced Sensors,THERMISTOR NTC 50KOHM 3977K BEAD,0,0,"1.19190","0","2500","Bulk","Automotive, AEC-Q200, CR1","Active","50k","±10%","±1%","-","-","-","3977K","-","-40°C ~ 170°C","-","0.89"" (22.50mm)","Through Hole","Bead"
https://www.tdk-electronics.tdk.com/inf/50/db/ntc/NTC_Leaded_disks_S871.pdf,//media.digikey.com/photos/Epcos%20Photos/EPCOS%20INC-%20SERIES-%20B57871S0.jpg,495-3035-ND,B57871S0212F000,TDK Electronics Inc.,THERM NTC 2.1KOHM 3560K BEAD,0,0,"1.19610","0","2000","Bulk","-","Active","2.1k","±1%","±1%","-","-","-","-","3560K","-55°C ~ 155°C","60mW","1.42"" (36.00mm)","Free Hanging","Bead"
