Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Core Processor","Speed","Number of Cores","Power (Watts)","Cooling Type","Size / Dimension","Form Factor","Expansion Site/Bus","RAM Capacity/Installed","Storage Interface","Video Outputs","Ethernet","USB","RS-232 (422, 485)","Digital I/O Lines","Analog Input:Output","Watchdog Timer","Operating Temperature"
http://downloadt.advantech.com/ProductFile/PIS/SOM-5890/Product%20-%20Datasheet/SOM-5890_DS(01.15.14)20140205153529.pdf,-,SOM-5890Z-S5A1E-ND,SOM-5890Z-S5A1E,Advantech Corp,INTEL I7-2610UE 1.5GHZ W/PHOENIX,0,0,"1477.63000","0","1","-","-","Active","Intel Core i7-2610UE","1.5GHz","-","-","Fan","4.92"" x 3.74"" (125mm x 95mm)","COM Express 2.0 Basic Module, Type 6","I²C, PCIe, PEG, LPC, SMBus, SPI","16GB/0GB","SATA 2.0 (2), SATA 3.0 (2)","DD, DP, DVI, HDMI, LVDS, SDVO, VGA","10/100/1000Mbps","USB 2.0 (8)","-","8","-","Yes","-20°C ~ 80°C"
http://downloadt.advantech.com/ProductFile/PIS/SOM-5892/Product%20-%20Datasheet/SOM-5892_DS(01.15.14)20140205153605.pdf,-,SOM-5892Z-S7A1E-ND,SOM-5892Z-S7A1E,Advantech Corp,INTEL I7-3517UE 1.7GHZ W/PHOENIX,0,0,"1477.63000","0","1","-","-","Active","Intel Core i7-3517UE","1.7GHz","-","-","Fan","4.92"" x 3.74"" (125mm x 95mm)","COM Express 2.0 Basic Module, Type 6","PCIe, PEG","16GB/0GB","SATA 2.0 (2), SATA 3.0 (2)","DD, DP, DVI, HDMI, LCD, LVDS, VGA","10/100/1000Mbps","USB 2.0 (8), USB 3.0 (4)","-","8","-","Yes","-20°C ~ 80°C"
https://www.versalogic.com/Products/PDF/DS-EPU-Blackbird.pdf,-,VL-EPU-4562-SBP-04-ND,VL-EPU-4562-SBP-04,VersaLogic Corporation,"EPU BLACKBIRD CORE I5, 2-CORE, 4",0,0,"1480.00800","0","5","-","Blackbird","Active","Intel Core i5","2.7GHz","4","-","Heat plate","3.74"" x 4.92"" (95mm x 125mm)","-","-","4GB/4GB","SATA, Mini PCIe/mSATA, microSD","LVDS, Mini Display Port","10/100/1000Mbps (2)","USB 2.0 (4), USB 3.0 (2)","4","24","8:4","Yes","0°C ~ 60°C"
http://advdownload.advantech.com/productfile/PIS/SOM-5992/Product%20-%20Datasheet/SOM-5992_DS(11.03.17)20171103151019.pdf,-,SOM-5992D8X-S6A1-ND,SOM-5992D8X-S6A1,Advantech Corp,XEON D-1539 1.6GHZ 8C,0,0,"1489.60000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.versalogic.com/Products/PDF/DS-Iguana.pdf,//media.digikey.com/Photos/VersaLogic%20Photos/MFG_VL-EPIC-25EAR.jpg,1241-1383-ND,VL-EPIC-25EAR,VersaLogic Corporation,SBC ATOM D425 1.8 GHZ MAX 2GB CC,0,0,"1501.01000","0","1","-","Iguana","Obsolete","Atom D425","1.83GHz","1","10.1W","Fan","4.5"" x 6.5"" (115mm x 165mm)","EPIC","PC/104-Plus","4GB/0GB","SATA2 (2), mSATA, eUSB, CompactFlash","VGA, LVDS","GbE (2)","USB 2.0 (6)","4","16","8:4","Yes","-40°C ~ 85°C"
http://advdownload.advantech.com/productfile/PIS/DS-980/Product%20-%20Datasheet/DS-980_DS(06.01.18)20180601093135.pdf,-,DS-980GL-U3A1E-ND,DS-980GL-U3A1E,Advantech Corp,"INTEL I5-6500TE, W/ 4G+4G RAM, 5",0,0,"1501.57000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://www.versalogic.com/Products/PDF/DS-EPU-Blackbird.pdf,-,VL-EPU-4562-SBP-08-ND,VL-EPU-4562-SBP-08,VersaLogic Corporation,"EPU BLACKBIRD CORE I5, 2-CORE, 8",0,0,"1505.00800","0","5","-","Blackbird","Active","Intel Core i5","2.7GHz","4","15.0W","Heat plate","3.74"" x 4.92"" (95mm x 125mm)","-","-","8GB/8GB","SATA, Mini PCIe/mSATA, microSD","LVDS, Mini Display Port","10/100/1000Mbps (2)","USB 2.0 (4), USB 3.0 (2)","4","24","8:4","Yes","0°C ~ 60°C"
http://advdownload.advantech.com/productfile/PIS/MIO-5271/Product%20-%20Datasheet/MIO-5271_DS(02.17.15)20150408110628.pdf,-,MIO-5271Z-4GS9A1E-ND,MIO-5271Z-4GS9A1E,Advantech Corp,INTEL I5 4300U 3.5"" MI/O-COMPACT,0,0,"1522.85000","0","1","-","-","Active","Intel Core i5-4300U","1.9GHz","2","4.68W","Heat Sink","5.7"" x 4"" (146mm x 102mm)","MIO-Compact","Mini-PCIe, MIOe","8GB/0GB","SATA, mSATA","DP, HDMI, LVDS, VGA","10/100/1000Mbps","USB 2.0 (3), USB 3.0 (2)","4","8","-","Yes","-20°C ~ 80°C"
http://downloadt.advantech.com/ProductFile/PIS/SOM-5892/Product%20-%20Datasheet/SOM-5892_DS(01.15.14)20140205153605.pdf,-,SOM-5892Z-U5A1E-ND,SOM-5892Z-U5A1E,Advantech Corp,INTEL I7-3555LE 2.5GHZ W/PHOENIX,0,0,"1529.50000","0","1","-","-","Active","Intel Core i7-3555LE","2.5GHz","-","-","Fan","4.92"" x 3.74"" (125mm x 95mm)","COM Express 2.0 Basic Module, Type 6","PCIe, PEG","16GB/0GB","SATA 2.0 (2), SATA 3.0 (2)","DD, DP, DVI, HDMI, LCD, LVDS, VGA","10/100/1000Mbps","USB 2.0 (8), USB 3.0 (4)","-","8","-","Yes","-20°C ~ 80°C"
http://downloadt.advantech.com/ProductFile/PIS/som-5897/Product%20-%20Datasheet/SOM-5897_DS(07.05.18)20180815145036.pdf,-,SOM-5897E4X-U0A1E-ND,SOM-5897E4X-U0A1E,Advantech Corp,XEON E3-1505L V5 4C 2.0GHZ 25W,0,0,"1529.50000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
