Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Core Processor","Speed","Number of Cores","Power (Watts)","Cooling Type","Size / Dimension","Form Factor","Expansion Site/Bus","RAM Capacity/Installed","Storage Interface","Video Outputs","Ethernet","USB","RS-232 (422, 485)","Digital I/O Lines","Analog Input:Output","Watchdog Timer","Operating Temperature"
//media.digikey.com/pdf/Data%20Sheets/Seeed%20Technology/102110379_Web.pdf,//media.digikey.com/Photos/Seeed%20Technology%20Ltd/MFG_102110379.jpg,1597-102110379-ND,102110379,"Seeed Technology Co., Ltd",ROCK PI N10 MODEL C - RK3399PRO,0,0,"202.73000","0","1","-","-","Active","Rochchip RK3399, ARM Cortex A53, ARM Cortex A72","1.4GHz, 1.8GHz","6","-","-","3.94"" x 3.94"" (100mm x 100mm)","-","GPIO, I²C, I²s, SPDIF, SPI, UART","8GB/-","eMMC, MicroSD","HDMI, MIPI-DSI","GbE","USB 2.0 (1), USB 3.0 (1)","-","40","-","No","-"
http://downloadt.advantech.com/download/downloadlit.aspx?lit_id=bf5cce0b-9ed2-4435-a924-20045f9620a7,-,SIMB-M01-1VGS8A1E-ND,SIMB-M01-1VGS8A1E,Advantech Corp,CIRCUIT MODULE D525 + NM10 MINI,0,0,"204.00000","0","1","-","-","Active","Atom D525","1.8GHz","2","-","Heat Sink","6.69"" x 6.69"" (170mm x 170mm)","-","PCIe","4GB/0GB","SATA 2.0 (2)","DP, HDMI, VGA","10/100/1000Mbps","USB 2.0 (8)","2","-","-","-","0°C ~ 50°C"
-,-,EDM1CFIMX6Q10R2GBNI4GLS2C-ND,EDM1CFIMX6Q10R2GBNI4GLS2C,TechNexion,MOD EDM COMPACT TYPE1 I.MX6 QUAD,0,0,"204.48000","0","1","-","EDM1","Active","ARM® Cortex®-A9, i.MX6Quad","1.0GHz","4","-","-","3.23"" x 2.36"" (82mm x 60mm)","EDM Compact","PCIe","2GB/2GB","SATA2, SDIO/MMC","-","-","USB 2.0, USB OTG 2.0","-","-","-","-","0°C ~ 60°C"
-,-,EDM2CFIMX6Q10R2GBNI4GLS2C-ND,EDM2CFIMX6Q10R2GBNI4GLS2C,TechNexion,MOD EDM COMPACT TYPE2 I.MX6 QUAD,0,0,"205.36000","0","10","-","EDM2","Not For New Designs","ARM® Cortex®-A9, i.MX6Quad","1.0GHz","4","-","-","3.23"" x 2.36"" (82mm x 60mm)","EDM Compact","PCIe","2GB/2GB","SATA2, SDIO/MMC","-","-","USB 2.0, USB OTG 2.0","-","-","-","-","0°C ~ 60°C"
http://downloadt.advantech.com/ProductFile/PIS/RSB-4410/Product%20-%20Datasheet/RSB-4410_DS(05.21.15)20150608135811.pdf,-,RSB-4410CD-MDA1E-ND,RSB-4410CD-MDA1E,Advantech Corp,I.MX6 DC 1.0GHZ 3.5"" RISC SBC,0,0,"208.81000","0","1","-","-","Active","ARM® Cortex®-A9, i.MX6Dual","1.0GHz","2","2.3W","Heat Sink","5.7"" x 4"" (146mm x 102mm)","3.5"" SBC","Mini-PCIe, SD, SIM","1GB/1GB","-","HDMI, LVDS, VGA","10/100/1000Mbps","USB (3)","3","-","-","Yes","0°C ~ 60°C"
https://wiki.solid-run.com/lib/exe/fetch.php?media=imx6:hummingboard:docs:sr-imx6-hummingboard-edge-datasheet.pdf,//media.digikey.com/Photos/SolidRun/MFG_HB.jpg,SRMX6DUW00D01GE008E00AH-ND,SRMX6DUW00D01GE008E00AH,SolidRun LTD,SBC EDGE CARRIER DUAL IMX6,0,0,"209.60800","0","60","-","HummingBoard Edge","Active","ARM® Cortex®-A9, i.MX6Dual","1.2GHz","2","-","-","4.02"" x 2.72"" (102mm x 69mm)","-","mPCIe","4GB/1GB","eSATA, M.2, uSD","HDMI, LVDS, MIPI","10/100/1000Mbps (1)","USB 2.0 (4)","-","36","-","-","-"
http://advdownload.advantech.com/productfile/PIS/SOM-6869/Product%20-%20Datasheet/SOM-6869_DS(10.03.17)20171003094946.pdf,-,SOM-6869RC-S1A1E-ND,SOM-6869RC-S1A1E,Advantech Corp,"CELERON N3350, 1.1GHZ 2C",0,0,"214.13000","0","1","-","*","Active","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
https://wiki.solid-run.com/lib/exe/fetch.php?media=imx6:hummingboard:docs:sr-imx6-hummingboard-gate-datasheet.pdf,//media.digikey.com/Photos/SolidRun/MFG_HB0.jpg,SRMX6QDW00D02GE008G00IH-ND,SRMX6QDW00D02GE008G00IH,SolidRun LTD,SBC GATE CARRIER QUAD IMX6,0,0,"217.05600","0","60","-","HummingBoard Gate","Active","ARM® Cortex®-A9, i.MX6Quad","1.2GHz","4","-","-","4.02"" x 2.72"" (102mm x 69mm)","-","mPCIe","4GB/2GB","uSD","HDMI, MIPI","10/100/1000Mbps (1)","USB 2.0 (4)","-","36","-","-","-"
https://wiki.solid-run.com/lib/exe/fetch.php?media=imx6:hummingboard:docs:sr-imx6-hummingboard-gate-datasheet.pdf,//media.digikey.com/Photos/SolidRun/MFG_HB0.jpg,SRMX6QDW00D02GE008G00AH-ND,SRMX6QDW00D02GE008G00AH,SolidRun LTD,SBC GATE CARRIER QUAD IMX6,0,0,"224.50400","0","60","-","HummingBoard Gate","Active","ARM® Cortex®-A9, i.MX6Quad","1.2GHz","4","-","-","4.02"" x 2.72"" (102mm x 69mm)","-","mPCIe","4GB/2GB","uSD","HDMI, MIPI","10/100/1000Mbps (1)","USB 2.0 (4)","-","36","-","-","-"
https://advdownload.advantech.com/productfile/PIS/UBC-DS31/Product%20-%20Datasheet/UBC-DS31_DS(03.10.16)20190624110334.pdf,//media.digikey.com/Photos/Advantech%20Corp%20Photos/MFG_UBC-DS31CD-MDA1E.jpg,UBC-DS31CD-MDA1E-ND,UBC-DS31CD-MDA1E,Advantech Corp,COMPUTER ARM I.MX6 1GHZ 1GB DDR3,0,0,"231.42000","0","1","-","-","Active","ARM® Cortex®-A9, i.MX6Dual","1.0GHz","2","2.3W","Heat Sink","7.52"" x 5.08"" (191mm x 129mm)","-","Mini-PCIe, SIM","1GB/1GB","SDIO","HDMI, VGA","10/100/1000Mbps","USB (1)","1","-","-","Yes","0°C ~ 40°C"
